rxcui	conceptId	drugBank
689	1105775	DB01223
623033	987366	DB01046
21949	778711	DB00924
2582	43081524	DB01190
141704	19011440	DB01590
1426595	43531878	DB02795
72302	713823	DB00268
10803	905078	DB00432
9036	19135845	DB03088
302285	19010927	DB00872
35623	735951	DB00740
1362739	43012204	DB07726
8463	947705	DB01179
8703	1551803	DB01039
309	19074752	DB00131
8698	1151422	DB01032
10627	902722	DB00684
11198	19008264	DB00570
2418	19095164	DB00169
1311548	42899112	DB08847
3154	1714527	DB00618
10737	703547	DB00656
90176	1360067	DB01592
1272	1715117	DB00355
55685	19115051	DB00884
1311524	42898318	DB00168
10995	19006877	DB03419
1320642	42903971	DB03651
6960	708298	DB00683
4089	1349025	DB01196
48937	19061088	DB00633
22537	19052751	DB01134
168	43076852	DB03166
476588	19112578	DB01591
70599	19126511	DB04304
1311381	42900051	DB01900
746741	720810	DB00413
233272	1389888	DB00307
1539968	45775260	DB05869
161	43076775	DB00316
322249	19082769	DB00998
114970	1111706	DB00549
31563	1114620	DB00716
60307	782211	DB00494
4603	956874	DB00695
1147220	40241937	DB08881
8702	1351779	DB01168
32385	916282	DB01250
1311224	42900471	DB04532
35636	735979	DB00734
99	1369939	DB00513
1426941	43532441	DB04445
325642	1717963	DB00303
996051	40222431	DB06772
1546365	1727468	DB00733
1603296	46221433	DB09078
301542	1510813	DB01098
6835	1504620	DB00763
28656	1507558	DB00666
10814	1505346	DB00279
10917	706644	DB01199
42316	950637	DB00864
153970	923672	DB00424
1546223	45775324	DB00271
42375	1351541	DB00007
194000	1337620	DB01101
8814	1354118	DB01240
3143	1312007	DB01708
897018	40170680	DB06637
7238	1114122	DB00844
16728	929542	DB00551
9671	19066774	DB00133
1314255	42903748	DB01094
68139	19003953	DB00728
10594	1302398	DB00208
9000	759740	DB00545
31914	715458	DB00906
115265	19011068	DB00710
7407	718583	DB00184
88014	1154077	DB00953
24698	1395557	DB01073
114289	1711523	DB00224
1300786	42873636	DB08893
134527	1715472	DB05251
657797	19092845	DB06287
85248	948555	DB00969
11359	1310353	DB00137
20859	19049410	DB01161
7984	1729720	DB00417
1314211	42903712	DB07631
20614	19049284	DB01718
47579	1558471	DB00248
3254	917205	DB01260
1367159	43013102	DB02178
6375	789578	DB01235
51428	1567198	DB01306
1193326	40244464	DB08877
1000082	40224159	DB06766
1424174	43526934	DB08913
8011	19031224	DB00552
3384	43084035	DB00711
1309741	42899635	DB04325
819911	40161662	DB06771
1313173	42903541	DB02083
31819	1715315	DB00507
69120	1106776	DB01409
857974	40166035	DB06335
3022	910888	DB00847
11124	1707687	DB00512
167	43076841	DB00819
50166	1363749	DB00492
1098413	40238052	DB05294
38409	1342346	DB00539
343047	1727223	DB01072
1242999	42709322	DB06626
22892	1189490	DB01495
36437	739138	DB01104
2626	800878	DB00363
1114195	40241331	DB06228
73044	1516766	DB00912
2541	997276	DB00501
1100072	40239056	DB05812
69036	19006586	DB06201
4179	43084598	DB00773
1367839	43014182	DB05528
3008	43083300	DB00091
1551571	45774605	DB02025
18747	934262	DB01014
1227	1114771	DB00995
135775	1116031	DB00315
35296	1334456	DB00178
8047	732309	DB01186
1992	939881	DB05318
1433347	43560342	DB06973
6904	1506602	DB06710
83816	1747157	DB00705
722	713109	DB00543
321064	40226742	DB00275
18330	1333379	DB01169
194881	938044	DB01194
17652	930747	DB00288
94	43125776	DB02959
194	19037624	DB03128
61381	785788	DB00334
3105	711714	DB01219
4511	19111620	DB00158
281	43081777	DB00787
4451	1755112	DB01099
1490468	44814600	DB09071
31448	1113648	DB00461
105069	19006313	DB05302
237082	19056801	DB00953
1362927	43012263	DB03967
33747	1525278	DB04574
1313248	42903585	DB03029
18343	19033634	DB06697
662281	1394023	DB04868
5492	975125	DB00741
5833	1379525	DB03106
3628	1337860	DB00988
6674	1394337	DB00888
83682	1747005	DB01066
283753	19071160	DB00556
56092	19115054	DB00462
68149	19003999	DB00688
5966	19081224	DB08947
1151	43076266	DB00126
38668	19042801	DB01108
306266	1711246	DB00442
1368702	43014281	DB02327
1430438	43533090	DB08916
39998	744798	DB00909
235559	19055251	DB00698
1312358	42903427	DB04630
5552	1377141	DB01005
39541	1343346	DB00361
139462	1716903	DB00218
231049	1189697	DB00216
1368130	43013466	DB07352
4919	962398	DB00145
190376	1736887	DB00601
90	43117528	DB00159
474128	1758392	DB01265
237159	1192218	DB01001
10207	1836503	DB00263
28439	705103	DB00555
11115	19007572	DB00161
1367180	43012636	DB03561
260101	1799139	DB00198
60212	1781733	DB01117
7804	1124957	DB00497
2653	1001419	DB00907
1368877	43014176	DB02255
83515	1346686	DB00876
1359086	42904278	DB03440
155	43076708	DB01614
2358	43081275	DB00878
1546380	45775530	DB01440
2410	795113	DB00356
4719	1558242	DB01241
2051	19049150	DB00429
1256	19014878	DB00993
73494	1317640	DB00966
55681	977421	DB00896
89013	757688	DB01238
1251	1314865	DB00928
6574	19124906	DB01378
25138	996625	DB00693
8588	19049024	DB01345
3041	1311078	DB00987
4461	19110714	DB00591
19478	937791	DB01294
25486	19097468	DB00789
6102	984801	DB01575
10636	1102917	DB00500
11404	19011010	DB00920
1388	916751	DB00431
7980	1728416	DB01053
3036	43083649	DB00138
1540523	45775509	DB01722
229369	1789517	DB01764
50675	766337	DB00536
228783	1189458	DB00998
3356	43084004	DB00485
1601374	45892075	DB09073
82819	19043959	DB00659
1368374	43014117	DB02375
10180	1836430	DB01015
270	1701651	DB00919
190521	1736971	DB01048
5470	1373928	DB01275
1828	1333357	DB01008
23088	1189596	DB01551
621590	19123869	DB01261
103	1436650	DB01033
2598	43081541	DB01068
15226	19022479	DB01213
7486	19021129	DB06690
5514	1377023	DB00200
1488564	44785829	DB06292
623400	19087394	DB06218
17145	929983	DB00600
1435108	43560400	DB08357
1040028	40230761	DB08815
32592	1318011	DB00526
2898	43081874	DB04665
7512	1321341	DB00368
16681	1529331	DB00284
38454	1342439	DB00519
384455	1742432	DB00560
473837	40166675	DB06402
2193	1777806	DB01212
81864	941052	DB00523
1813	43077001	DB01210
139778	916943	DB01079
10154	836208	DB00202
3013	1110727	DB00434
4530	1756524	DB03843
1362885	43012228	DB02962
12574	1314924	DB00441
1544460	45776944	DB09054
236083	19055729	DB00630
22380	19086827	DB03600
39841	943852	DB06694
8152	735340	DB00191
21090	950098	DB01188
274783	1502905	DB00047
475969	1758536	DB07191
11002	906914	DB03904
1040005	40230597	DB06590
