"callret-0","drug","hoi"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10002272"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10002315"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10045627"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10002082"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10002071"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10055742"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10002034"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10046146"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10038853"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10013265"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10038931"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10038923"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10048487"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10038854"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10001141"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10001166"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10066136"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10061873"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029514"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10013242"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029203"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029286"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029202"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10045843"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029298"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029205"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10012687"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029477"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10012674"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10012638"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10061835"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10012678"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10003816"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10003815"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10061664"
