mesh|meddra
D051437|TEST
D003110|10009999
D003110|10009945
D003110|10025848
D003110|10009973
D003110|10061045
D003110|10009974
D003110|10009990
D004381|10013797
D004381|10011646
D004381|10013836
D004381|10045297
D005334|10037660
D005334|10020843
D005334|10020083
D005334|10037663
D005334|10043204
D005334|10016558
D005334|10005911
D005334|10037668
D005923|10016832
D005923|10065581
D005923|10067757
D006333|10022462
D006333|10007555
D006333|10007564
D006333|10007836
D006333|10019284
D006333|10037425
D006333|10024102
D006333|10010684
D006333|10025163
D006333|10007554
D006333|10007582
D006333|10019290
D006333|10019279
D006333|10016146
D006333|10024120
D006333|10010682
D006333|10016147
D006333|10007563
D006333|10007568
D006333|10024106
D006333|10024119
D006333|10016151
D006333|10011949
D006333|10007559
D006333|10019280
D006333|10019282
D006333|10060948
D006333|10019285
D006333|10008502
D006333|10007569
D006333|10007561
D006333|10016163
D006333|10007562
D006333|10037376
D006333|10039152
D006333|10016145
