FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
ALUMINUM CHLORIDE ANHYDROUS	LIF1N9568Y	46241	None	None	None
ETHYLENE-VINYL ACETATE COPOLYMER (19% VINYLACETATE)	JK6142KK4O	1312576	None	None	None
TEMODAL	YF1K15M17Y	261663	None	None	CHEBI_72564
OKT3	JGA39ICE2V	42405	None	None	None
LICORICE ROOT	61ZBX54883	1370435	None	None	None
RED PEPPER	6M47G7C4SY	1313692	None	None	None
GINSENG PREPARATION	CUQ3A77YXI	325526	None	None	None
PLEOSPORA BETAE	V58BK047ES	852756	None	None	None
EUCALYPTOL	RV6J6604TK	21116	None	None	CHEBI_27961
VANOS	2W4A77YPAN	543481	None	None	None
ACID BLUE 1	FH1929ICIT	32950	None	None	None
DEPOCYT	04079A1RDZ	196337	None	None	None
SODIUM NITROFERRICYANIDE	XN654NKH9W	9895	None	None	None
CITRUS MAXIMA LEAF EXTRACT	6U4626TKMH	1306208	None	None	None
ACID BLUE 9	H3R47K3TBD	1426460	None	None	None
BUTYL ACRYLATE/C16-C20 ALKYL METHACRYLATE/METHACRYLIC ACID/METHYL METHACRYLATE COPOLYMER	7K68DGG29P	1485121	None	None	None
TEMODAR	YF1K15M17Y	261663	None	None	CHEBI_72564
TOSYLCHLORAMIDE SODIUM	328AS34YM6	20762	None	None	None
2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE, 3,4-DIHYDRO-6-(TRIFLUOROMETHYL)-, 1,1-DIOXIDE	501CFL162R	5495	None	None	None
WATERCRESS	K5877MW0LE	1011418	None	None	None
FERROUS OXALATE	DZP4YV3ICV	236196	None	None	None
SOLANUM NIGRUM TOP	O4G5C1G3W5	1310217	None	None	None
CURCUMA AROMATICA ROOT OIL	Q68H9P4S4J	1482794	None	None	None
ROCEFIN	023Z5BR09K	9449	None	None	None
LEVOMILNACIPRAN HYDROCHLORIDE	371U2ZK31U	1433211	None	None	None
OXELADIN	SNC1080T5Y	32626	Oxeladin	DB04822	None
CORTICOTROPIN-RELEASING FACTOR	305OE8862Y	214461	None	None	None
TRIMETHYL DODECATRIENOL	EB41QIU6JL	1362903	None	None	None
MELISSA OFFICINALIS LEAF OIL	PTP6R7263M	1309328	None	None	None
NEISSERIA MENINGITIDIS GROUP C CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN	2J57K2523T	797631	None	None	None
THYME PREPARATION	CW657OBU4N	319823	None	None	None
HESPERETIN LAURATE	HP864VLN2T	1366665	None	None	None
1H-IMIDAZOLE, 4-(2-ETHYL-2,3-DIHYDRO-1H-INDEN-2-YL)-	03N9U5JAF6	18475	None	None	None
LYME DISEASE SPIROCHETE	0J8NV9V5Q8	1426882	None	None	None
THIAMYLAL SODIUM	T4L2P3KH7K	203201	None	None	None
OFORTA	1X9VK9O1SC	877487	None	None	None
FLUPREDNIDENE	FA517NS3N7	236650	None	None	None
OMEGA 3 FATTY ACIDS	71M78END5S	4301	None	None	None
TETRAHYDROFURFURYL SALICYLATE	4KUH7HZ54V	237144	None	None	None
SILICA DIMETHYL SILYLATE	EU2PSP0G0W	1426646	None	None	None
PORACTANT ALFA	KE3U2023NP	236381	None	None	None
ARNICA CORDIFOLIA FLOWER	JCG1OSZ7A8	1307964	None	None	None
CAMELLIA JAPONICA FLOWER EXTRACT	KUB8101TNF	1307547	None	None	None
BIMATOPROST	QXS94885MZ	283810	Bimatoprost	DB00905	CHEBI_51230
OCTOXYNOL 5	TJ327E1R1V	1426398	None	None	None
ALLERGENIC EXTRACT, RED ALDER	Z0F2YK1B7H	314441	None	None	None
PAEONIA SUFFRUTICOSA ROOT BARK	BUG255FE7X	1307729	None	None	None
BORDETELLA PERTUSSIS TOXOID ANTIGEN (FORMALDEHYDE, GLUTARALDEHYDE INACTIVATED)	QSN5XO8ZSU	1300186	None	None	None
EPOCH	64FS3BFH5W	1039674	None	None	None
WATERMELON	231473QB6R	260014	None	None	None
MIDODRINE	6YE7PBM15H	6963	None	None	CHEBI_6933
ELDOPAQUE FORTE	XV74C1N1AE	216871	None	None	None
ALPHAPRODINE	001O2254AC	594	None	None	None
ADANSONIA DIGITATA LEAF	G75S8RQS56	1428848	None	None	None
METHAPYRILENE	A01LX40298	6822	None	None	None
ZANAFLEX	B53E3NMY5C	153736	None	None	None
ETOGLUCID	4F9KUA0T4D	4132	None	None	None
VINDESINE	RSA8KO39WH	11204	None	None	None
PHENOTHRIN	707484X33X	33303	None	None	None
ARGANIA SPINOSA WHOLE	83K6O4FR76	1482541	None	None	None
NARATRIPTAN	QX3KXL1ZA2	141366	Naratriptan	DB00952	CHEBI_7478
WORMWOOD OIL	01756N87N8	1305653	None	None	None
DIETHANOLAMINE	AZE05TDV2V	1362911	None	None	None
TRIFLUPROMAZINE HYDROCHLORIDE	9E75N4A5HM	91125	None	None	None
RHEUM OFFICINALE WHOLE	VC3KP6B2CE	1435867	None	None	None
MYCOPHENOLATE MOFETIL	9242ECW6R0	68149	Mycophenolate mofetil	DB00688	None
2-OCTYLDODECANOL	461N1O614Y	1367124	None	None	None
APIOSPORA MONTAGNEI ALLERGENIC EXTRACT	49VI1ZSO06	1006258	None	None	None
PSYLLIUM HUSK	0SHO53407G	104129	None	None	None
FARESTON	2498Y783QT	155082	None	None	None
BAHIA GRASS POLLEN EXTRACT	V003SHB7VK	852673	None	None	None
LAIDLOMYCIN PROPIONATE	C1I41WJ61M	1370570	None	None	None
STEARIC ACID	4ELV7Z65AP	1310551	Stearic acid	DB03193	None
4H-PYRAZINO(2,1-A)ISOQUINOLIN-4-ONE, 2-(CYCLOHEXYLCARBONYL)-1,2,3,6,7,11B-HEXAHYDRO-	6490C9U457	8628	None	None	None
OCTANOIC ACID	OBL58JN025	20178	Caprylic acid	DB04519	CHEBI_28837
PROPOLIS WAX	6Y8XYV2NOF	1311659	None	None	None
LIGHT MINERAL OIL	N6K5787QVP	577312	None	None	None
HYDROCODONE TANNATE	68T7388F5H	597355	None	None	None
GOLD THIOGLUCOSE	2P2V9Q0E78	4980	None	None	None
FLUBENISOLONE	9842X06Q6M	1514	None	None	None
LINOLEAMIDOPROPYL DIMETHYLAMINE	W142CF4WLF	1364949	None	None	None
ORIGANUM OIL	39736Z7Q8W	1308067	None	None	None
SORBITAN DIOLEATE	6T6N9I9VD0	1374406	None	None	None
IOTROXATE MEGLUMINE	389136RRO0	52527	None	None	None
DISODIUM HEDTA	KME849MC7A	1428868	None	None	None
DICYCLOMINE HYDROCHLORIDE	CQ903KQA31	152021	None	None	None
ATRIDOX	19XTS3T51U	323556	None	None	None
MOEXIPRIL	WT87C52TJZ	30131	Moexipril	DB00691	None
MORAZONE HCL	EFJ5QS2AU5	236679	None	None	None
INTERLEUKIN 11	O14Q7A13PT	1311380	None	None	None
HYDROGEN	7YNJ3PO35Z	5497	None	None	None
ACETYLSULFANILAMIDE	340484WZ3L	10169	None	None	None
NONANAL	2L2WBY9K6T	1314253	None	None	None
EFLORNITHINE	ZQN1G5V6SR	569	None	None	CHEBI_41948
PHOENIX DACTYLIFERA SEED	73NE6T0Q00	1368338	None	None	None
CICLACILLIN	72ZJ154X86	2968	None	None	CHEBI_31444
AMFEBUTAMONE	01ZG3TPX31	42347	None	None	None
LITHIUM ACETATE	H4278O5FLV	52103	None	None	None
EGG PHOSPHOLIPIDS	1Z74184RGV	314605	None	None	None
OSPHENA	B0P231ILBK	1370977	None	None	None
AMINO ACIDS 6.5%	0O72R8RF8A	235900	None	None	None
ARISAEMA DRACONTIUM ROOT	73BHJ429FF	1313734	None	None	None
CITRUS MAXIMA SEED	083X55C543	1306209	None	None	None
SODIUM PHOSPHATE MONOBASIC DIHYDRATE	5QWK665956	1311286	None	None	None
ARTEMISIA TRIDENTATA POLLEN	YI19RB8YFD	852020	None	None	None
CHINONIN	1M84LD0UMD	1362895	None	None	None
PHOSLYRA	Y882YXF34X	1099805	None	None	None
IXIARO	DZ854I04ZE	845529	None	None	None
CALCIUM SULFATE HEMIHYDRATE	3RW091J48V	1310466	None	None	None
MALVA SYLVESTRIS LEAF	17H39B00T5	1307582	None	None	None
SULFISOXAZOLE	740T4C525W	10207	Sulfisoxazole	DB00263	None
CRUEX	77YW1RTU8V	216283	None	None	None
FERRIC OXIDE,RED	1K09F3G675	1310572	None	None	None
BOSWELLIA SERRATA	4PW41QCO2M	485858	None	None	None
ANCHOVY PREPARATION	025ZB55O8N	1310517	None	None	None
CANIS LUPUS FAMILIARIS SKIN EXTRACT	X2W7CLE97T	867182	None	None	None
WHITE CATFISH	UVP9UR815M	971166	None	None	None
LITHIUM SUCCINATE	MD64P82Y28	28817	None	None	None
HYDROCORTISONE SODIUM PHOSPHATE	0388G963HY	235482	None	None	None
ONOSMODIUM VIRGINIANUM	604NK4250S	1347561	None	None	None
CLARINEX	FVF865388R	323342	None	None	None
PARA-AMINOSALICYLIC ACID	5B2658E0N2	7833	None	None	None
RILMENIDINE	P67IM25ID8	55679	None	None	None
HYDROXYETHYL CELLULOSE (40 MPA.S AT 2%)	I2N4ZF9233	1376150	None	None	None
ISOAMINILE	R4823W2PQL	27866	None	None	None
SOMATULINE	IEU56G3J9C	72664	None	None	None
HYPROLOSE	RFW2ET671P	27291	None	None	None
PENBUTOLOL SULFATE	US71433228	82070	None	None	None
LEVATOL	US71433228	93113	None	None	None
ANTIINHIBITOR COAGULANT COMPLEX	CS849DUN3M	314504	None	None	None
PRIMULA VERIS	W6LFQ57E4M	1311310	None	None	None
DEANOL	2N6K9DRA24	3116	None	None	None
METOCURINE	V0M92G2U26	29950	Metocurine	DB01336	None
BETAINE HCL	JK8U8K4D6K	81965	None	None	None
LITHIUM SULFATE	919XA137JK	28818	None	None	None
ALLERGENIC EXTRACT, JUNE POLLEN	IIC6H3WF6J	851965	None	None	None
ORAPRED	IV021NXA9J	285077	None	None	None
KOREAN GINSENG PREPARATION	CUQ3A77YXI	259470	None	None	None
VANILLA BEAN ALLERGENIC EXTRACT	Q74T35078H	901291	None	None	None
TEUCRIUM MARUM TOP	XZ59URN33O	1368325	None	None	None
EUPHORBIA THYMIFOLIA WHOLE	D56Y3D2OTL	1371301	None	None	None
ETHYLHEXYL TRIAZONE	XQN8R9SAK4	1314657	None	None	None
LATHYRUS SATIVAS SEED	8VP54WOT4I	1309937	None	None	None
WORMWOOD EXTRACT	F84709P2XV	1309324	None	None	None
ENCAINIDE	SY3J0147NB	42368	None	None	CHEBI_4788
D-ALPHA TOCOPHEROL	N9PR3490H9	237099	None	None	None
CAMELLIA JAPONICA FLOWER	KUB8101TNF	1307547	None	None	None
DAYPRO	MHJ80W9LRB	157381	None	None	None
OENOTHERA BIENNIS SEED	634OA3ULTM	1437503	None	None	None
2,4(1H,3H)-QUINAZOLINEDIONE, 3-(2-(4-(4-FLUOROBENZOYL)-1-PIPERIDINYL)ETHYL)-	97F9DE4CT4	6131	None	None	None
OLEANOL	6SMK8R7TGJ	1426254	None	None	None
BOSENTAN	Q326023R30	75207	None	None	CHEBI_51450
MALIC ACID	817L1N4CKP	29209	None	None	None
SPECTINOMYCIN HYDROCHLORIDE	HWT06H303Z	267342	None	None	None
DEOXYCORTONE PIVALATE	16665T4A2X	22537	None	None	None
MYRTLE LEAF OIL	4ZP3Q1OY08	1307835	None	None	None
CALCIUM OXALATE MONOHYDRATE	4PP86KK527	1485047	None	None	None
MOLYBDENUM MO-99	6634O61GOI	90574	None	None	None
ALUMINIUM CARBONATE	1GA689N629	89858	None	None	None
BROMODIPHENHYDRAMINE HCL	202J683U97	91065	None	None	None
ALLERGENIC EXTRACT, PECAN	F14P91GB5F	852272	None	None	None
GOSSYPIUM HERBACEUM ROOT BARK	VQN1631P4C	1309785	None	None	None
FOSPHENYTOIN SODIUM	7VLR55452Z	82806	None	None	None
P-BENZOQUINONE	3T006GV98U	319868	None	None	None
LEMON PEEL WAX	20G0UPO0TI	1311618	None	None	None
ARNICA	OZ0E5Y15PZ	144377	None	None	None
SOMATROPIN (RECOMBINANT DNA ORIGIN)	NQX9KB6PCL	314845	None	None	None
3,3',4',5,7-PENTAHYDROXYFLAVONE	9IKM0I5T1E	9060	None	None	CHEBI_16243
PHENYLEPHRINE BITARTRATE	27O3Q5ML57	91167	None	None	None
EPHEDRINE HCL	NLJ6390P1Z	91165	None	None	None
PYROGALLOL	01Y4A2QXY0	9022	None	None	None
PALMITOYL DIPEPTIDE-7	JHF843U5C5	1368160	None	None	None
1,2,3-TRIHYDROXYBENZENE	01Y4A2QXY0	9022	None	None	None
ROBINIA PSEUDOACACIA POLLEN	8003NOJ82F	867325	None	None	None
NORGESTIMATE	C291HFX4DY	31994	Norgestimate	DB00957	CHEBI_50815
DESOXYCORTICOSTERONE PIVALATE	16665T4A2X	22537	None	None	None
TESTIM	3XMK78S47O	353016	None	None	None
BETAPACE	HEC37C70XX	224909	None	None	None
MAITAKE	A1U5YJI0Z8	1311410	None	None	None
MIMULUS GUTTATUS FLOWERING TOP	192426I5JU	1309946	None	None	None
TYLVALOSIN	9T02S42WQO	1368469	None	None	None
ACETIC ACID, TRICHLORO-	5V2JDO056X	10773	None	None	None
8-MOP	U4VJ29L7BQ	227713	None	None	CHEBI_18358
SACCHAROMYCES BOULARDII	978D8U419H	236782	None	None	None
2-(2-ETHOXYETHOXY)ETHANOL	A1A1I8X02B	1311147	None	None	None
N-(CARBONYL-METHOXYPOLYETHYLENE GLYCOL 2000)-1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOETHANOLAMINE, SODIUM SALT	3L6NN8ZZKU	1366942	None	None	None
ADAMANTANAMINE HYDROCHLORIDE	M6Q1EO9TD0	282415	None	None	None
BENZYLPENICILLIN	Q42T66VG0C	7980	None	None	CHEBI_18208
HYPROMELLOSE	3NXW29V3WO	27334	None	None	None
CARNITINE CHLORIDE	F64264D63N	1311519	None	None	None
INOMAX	31C4KY9ESH	405139	None	None	None
RIFAXIMIN	L36O5T016N	35619	Rifaximin	DB01220	None
FLUNIXIN	356IB1O400	25121	None	None	None
FENUGREEK	654825W09Z	282436	None	None	None
PAEONIA SUFFRUTICOSA ROOT	7M7E9A2C8J	1307975	None	None	None
MAGNESIUM THIOSULFATE	DXM979IS61	236420	None	None	None
EDF	9O1TT75I7L	1367184	None	None	None
CLOPIDOGREL	A74586SNO7	32968	Clopidogrel	DB00758	CHEBI_37941
STANNOUS CHLORIDE DIHYDRATE	1BQV3749L5	37032	None	None	None
CARYOPHYLLENE	BHW853AU9H	1368148	None	None	None
NIALAMIDE	T2Q0RYM725	7394	Nialamide	DB04820	None
ANTITHROMBIN III (HUMAN)	T0LTO7L82X	221062	None	None	None
ENOXAPARIN SODIUM	8NZ41MIK1O	221095	None	None	None
TURNERA DIFFUSA LEAFY TWIG	RQ2CFA7WWJ	1310032	None	None	None
MUSTARGEN	L0MR697HHI	281544	None	None	None
HOPS ALLERGENIC EXTRACT	01G73H6H83	899480	None	None	None
FOLLITROPIN	076WHW89TW	227518	None	None	None
GONADORELIN HYDROCHLORIDE	3PFC574ITA	204194	None	None	None
ESTROGENS,CONJUGATED	IU5QR144QX	4099	None	None	None
TROPAEOLUM MAJUS FLOWER	7FV667B00B	1369396	None	None	None
LMD	K3R6ZDH4DU	3272	None	None	None
CHLORPHENESIN	I670DAL4SZ	2399	None	None	None
ECHINACEA ANGUSTIFOLIA EXTRACT	VB06AV5US8	236121	None	None	None
ROCURONIUM	WRE554RFEZ	68139	Rocuronium	DB00728	None
NALOXONE	36B82AMQ7N	7242	Naloxone	DB01183	CHEBI_7459
ASARUM SIEBOLDII ROOT EXTRACT	8IPR99RALA	1307817	None	None	None
HAWTHORN LEAF WITH FLOWER EXTRACT	6OM09RPY36	1309793	None	None	None
CLADOSPORIUM CLADOSPORIOIDES EXTRACT	4ZWY20GTGO	867198	None	None	None
ALISKIREN HEMIFUMARATE	C8A0P8G029	732498	None	None	None
SODIUM COPPER CHLOROPHYLLIN	1D276TYV9O	1366841	None	None	None
CHLOROCRESOL	36W53O7109	20823	None	None	None
TERTATOLOL	9ZO341YQXP	37840	None	None	None
LENS SCALE POLLEN EXTRACT	86LWA5503I	852096	None	None	None
PREDNISOLONE SODIUM PHOSPHATE	IV021NXA9J	55062	None	None	None
MASTOCARPUS STELLATUS	6T087FC66H	1424904	None	None	None
DPN	0U46U6E8UK	1044975	None	None	None
DALTEPARIN SODIUM	12M44VTJ7B	82137	None	None	None
DURICEF	280111G160	204176	None	None	None
PENICILLIN G PROCAINE	17R794ESYN	7983	None	None	None
CLEMATIS RECTA FLOWERING TOP	396421SP9F	1309774	None	None	None
DESOXYN	997F43Z9CV	224965	None	None	None
LEVISTICUM OFFICINALE ROOT	46QZ19OEX8	1482543	None	None	None
AGRIMONIA EUPATORIA	EBU0U94820	1314595	None	None	None
EPIVIR	2T8Q726O95	196478	None	None	CHEBI_63577
FLUTEMETAMOL F-18	L49M066S0O	1486025	None	None	None
INFLUENZA A VIRUS A/CALIFORNIA/7/2009(H1N1)-LIKE HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)	K9P8PVA2UG	1005929	None	None	None
ECLIPTA PROSTRATA LEAF	H86R96580E	1307644	None	None	None
HYDROXYPROPYL METHYLCELLULOSE	3NXW29V3WO	27334	None	None	None
CANDIDA ALBICANS EXTRACT	4D7G21HDBC	214355	None	None	None
METHYL METHACRYLATE/GLYCOL DIMETHACRYLATE CROSSPOLYMER	EG97988M5Q	1312390	None	None	None
ALANYL GLUTAMINE	U5JDO2770Z	1359422	None	None	None
PEG-8 DISTEARATE	7JNC8VN07M	1363622	None	None	None
CORDARONE	976728SY6Z	203588	None	None	None
MORPHINAN-3,14-DIOL, 17-(CYCLOBUTYLMETHYL)-	QV897JC36D	1841	None	None	None
CYPERUS ESCULENTUS LEAF EXTRACT	T1004HC0OF	1433191	None	None	None
XYLOMETAZOLINE HCL	X5S84033NZ	54220	None	None	None
ALUMINIUM MONOSTEARATE	P9BC99461E	46243	None	None	None
DIPHENIDOL HYDROCHLORIDE	DG355XWQ4T	47877	None	None	None
ACESULFAME POTASSIUM	23OV73Q5G9	1310545	None	None	None
PAMELOR	00FN6IH15D	7866	None	None	None
AZITHROMYCIN DIHYDRATE	5FD1131I7S	253155	None	None	None
BEVACIZUMAB	2S9ZZM9Q9V	253337	None	None	None
MORUS ALBA BARK	7O71A48NDP	1309444	None	None	None
MINOCIN	0020414E5U	152056	None	None	None
EGG YOLK PHOSPHATIDES	1Z74184RGV	349762	None	None	None
CIBENZOLINE	Z7489237QT	21099	None	None	None
TOPOTECAN	7M7YKX2N15	57308	Topotecan	DB01030	None
IOBENGUANE	35MRW7B4AD	14448	Iobenguane	DB06704	None
MINAPRINE	00U7GX0NLM	30031	Minaprine	DB00805	CHEBI_51038
MIRABILIS JALAPA TOP	A397T441LG	1441657	None	None	None
AMBROSIA CONFERTIFLORA POLLEN	63TBJ590BL	1117083	None	None	None
CEFAPIRIN SODIUM	431LFF7I7J	42562	None	None	None
MEDAZEPAM	P0J3387W3S	6680	None	None	None
AEDES TAENIORHYNCHUS	BN2DNW66IQ	974741	None	None	None
NAPROXEN SODIUM	9TN87S3A3C	142442	None	None	None
ALDOSTERONE	4964P6T9RB	1312358	Aldosterone	DB04630	None
2,5-DIHYDROXYBENZOIC ACID	VP36V95O3T	1368641	None	None	None
BOERHAVIA DIFFUSA ROOT	KR0SR09KYL	1488999	None	None	None
TRICHOPHYTON MENTAGROPHYTES	199I7J3JIV	867357	None	None	None
HYPROMELLOSE 2910 (15 MPA.S)	36SFW2JZ0W	1300450	None	None	None
VITAMIN K-DEPENDENT PROTEIN S	90J3F6N5FN	34822	None	None	None
CARBENOXOLONE	MM6384NG73	2017	None	None	None
ALKYL (C12-15) BENZOATE	A9EJ3J61HQ	1310548	None	None	None
RICE BRAN OIL	LZO6K1506A	1309223	None	None	None
ISOPROTERENOL HCL	DIA2A74855	82030	None	None	None
WHITE ARSENIC	S7V92P67HO	18330	None	None	None
GIANT PUFFBALL	I6839Y031A	1311063	None	None	None
DICLOFENAC EPOLAMINE	X5F8EKL9ZG	40968	None	None	None
ADANSONIA DIGITATA FRUIT EXTRACT	51N9TR1W6P	1424863	None	None	None
BRAIN NATRIURETIC PEPTIDE 32	P7WI8UL647	19666	None	None	None
CHENOPODIUM AMBROSIOIDES POLLEN	WIB701MW2H	897391	None	None	None
PEG-100 STEARATE	YD01N1999R	1367120	None	None	None
ACTINIDIA POLYGAMA FRUIT	CJA97047JF	1307674	None	None	None
MYRICETIN	76XC01FTOJ	1368374	Myricetin	DB02375	None
SILICIC ACID, SODIUM SALT	IJF18F77L3	1363697	None	None	None
MENEST	3ASP8Q3768	218309	None	None	None
METAMIZOLE	934T64RMNJ	3523	None	None	None
SULFACETAMIDE	4965G3J0F5	10169	Sulfacetamide	DB00634	CHEBI_63845
ACHYROCLINE SATUREIOIDES	PGA1AZ433Z	1318236	None	None	None
HYDROXYETHYL SALICYLATE	3I1VBB7AXH	26051	None	None	None
MEQUINOL	6HT8U7K3AM	15080	None	None	None
PIOGLITAZONE	X4OV71U42S	33738	None	None	CHEBI_8228
KEMSTRO	H789N3FKE8	664141	None	None	None
HORDENINE SULFATE	O6NSW8P8Y8	236237	None	None	None
NEOHESPERIDINE DIHYDROCHALCONE	3X476D83QV	1312741	None	None	None
STREPTOCOCCUS FAECALIS	15E04LZ9CT	10098	None	None	None
GEMCITABINE HCL	U347PV74IL	236234	None	None	None
TAMIFLU	4A3O49NGEZ	261657	None	None	None
METHIXENE HCL	84L8XK6N1G	258230	None	None	None
3,5-PYRIDINEDICARBOXYLIC ACID, 2-CYANO-1,4-DIHYDRO-6-METHYL-4-(3-NITROPHENYL)-, 3-METHYL 5-(1-METHYLETHYL) ESTER	0214FUT37J	53692	None	None	None
ARTEMISIA ABROTANUM WHOLE	UOV773I89T	1313225	None	None	None
INSULIN,LENTE,BEEF/PURIFIED	576O9IZ534	235280	None	None	None
ADENOSINE	K72T3FS567	296	Adenosine	DB00640	None
FERROUS CITRATE,FE-59	PW94HT3KE9	91555	None	None	None
2(1H)-QUINOLINONE, 5-(3-((1,1-DIMETHYLETHYL)AMINO)-2-HYDROXYPROPOXY)-3,4-DIHYDRO-	8NF31401XG	2116	None	None	None
DIAMORPHINE HYDROCHLORIDE	8H672SHT8E	81994	None	None	None
PANCRELIPASE	FQ3DRG0N5K	235379	None	None	None
AMBER	70J9Z0J26P	1311393	None	None	None
PROPYLENE GLYCOL 1,2-DISTEARATE	T65PN3O37H	1370193	None	None	None
TRIMETHOPRIM SULFATE	E377MF8EQ8	221176	None	None	None
VINYL ACETATE	L9MK238N77	1368177	None	None	None
HEXAMINE	J50OIX95QV	6832	None	None	None
AMERICAN ELDERBERRY	7610Y219OC	1310213	None	None	None
LIGUSTICUM TENUISSIMUM LEAF	U9Q450Q978	1309806	None	None	None
COPPER(II) ACETATE	39M11XPH03	1311216	None	None	None
OMEPRAZOLE MAGNESIUM	426QFE7XLK	236486	None	None	None
CASUARINA EQUISETIFOLIA POLLEN	OZJ4OE173N	852229	None	None	None
SUNFLOWER SEED ALLERGENIC EXTRACT	42DG15CHXV	901203	None	None	None
CODEINE HYDROCHLORIDE	NTZ53GG7XN	1115966	None	None	None
JUNE GRASS POLLEN EXTRACT	IIC6H3WF6J	851965	None	None	None
BETULA PENDULA TAR OIL	7JK2RXJ8G7	1310070	None	None	None
AMYRIS BALSAMIFERA OIL	I1BJ961J2E	1305639	None	None	None
ALPHA-LIPOIC ACID	73Y7P0K73Y	6417	None	None	CHEBI_16494
DORIBAX	BHV525JOBH	744809	None	None	None
CHLORHEXIDINE DIACETATE	5908ZUF22Y	133054	None	None	None
1,2,6-HEXANETRIOL	W45XXM0XWE	1362577	None	None	None
BENZNIDAZOLE	YC42NRJ1ZD	18994	None	None	None
CLOBUTINOL HCL	N2U6799DZQ	235956	None	None	None
PHYSOSTIGMA VENENOSUM SEED	CJV9E9IIOA	1310076	None	None	None
2,6-PIPERIDINEDIONE, 3-(4-AMINOPHENYL)-3-ETHYL-	0O54ZQ14I9	677	None	None	None
LACTUCA VIROSA LEAF EXTRACT	H3R170Z9H8	1309699	None	None	None
FENNEL OIL	59AAO5F6HT	1305608	None	None	None
NORETHISTERONE	T18F433X4S	7514	None	None	CHEBI_7627
FRANKINCENSE	R9XLF1R1WM	1311479	None	None	None
CANARY FEATHER EXTRACT	9EL3384IQY	894961	None	None	None
CHOLINE ALFOSCERATE	60M22SGW66	4918	None	None	None
THUJA OCCIDENTALIS BARK	19RAD88E6O	1307585	None	None	None
PAPAVERINE	DAA13NKG2Q	7895	Papaverine	DB01113	None
LYCOPUS VIRGINICUS	TWH5125Q6F	1311148	None	None	None
TIAGABINE HYDROCHLORIDE	DQH6T6D8OY	236875	None	None	None
PYRROLAMIDOL	9S4S6CIY83	3290	None	None	None
TROUT	7TI7U5PF2U	882482	None	None	None
ETONOGESTREL	304GTH6RNH	14584	Etonogestrel	DB00294	CHEBI_50777
MANIDIPINE	6O4754US88	29275	None	None	None
HELIANTHUS ANNUUS FLOWERING TOP EXTRACT	BKJ0J3D1BP	1309686	None	None	None
FAGUS SYLVATICA FLOWER BUD EXTRACT	6D5V13045W	1309464	None	None	None
VINCRISTINE SULFATE	T5IRO3534A	11203	None	None	None
C10-18 TRIGLYCERIDES	43AGM4PHPI	1312360	None	None	None
NOSCAPINE	8V32U4AOQU	7533	None	None	None
AMARANTHUS RETROFLEXUS WHOLE	55W4M8149I	1306882	None	None	None
TERT-BUTYLHYDROQUINONE	C12674942B	1362739	None	None	None
PINUS SYLVESTRIS POLLEN	59070I8M63	900764	None	None	None
ALGINATE	8C3Z4148WZ	1370451	None	None	None
BLACK WALNUT	02WM57RXZJ	891695	None	None	None
DEOXYCOFORMYCIN	395575MZO7	8011	None	None	None
HYDROLYZED WHEAT PROTEIN (ENZYMATIC, 3000 MW)	J2S07SB0YL	1426424	None	None	None
PRUNUS SPECIOSA LEAF	Q71D900FVU	1309953	None	None	None
SUS SCROFA BLOOD	994R458ECK	1311272	None	None	None
ARTEMISIA FRIGIDA POLLEN	5AN5LR8L3F	867142	None	None	None
BEMETIZIDE	EZN4D2O31B	22427	None	None	None
CALCIPOTRIENE	143NQ3779B	29365	Calcipotriol	DB02300	CHEBI_50749
BENZOCAINE HYDROCHLORIDE	OG625Z9LEO	1049105	None	None	None
CINNAMON OIL	E5GY4I6YCZ	1309229	None	None	None
AMMONIATED MERCURIC CHLORIDE	JD546Z56F0	29542	None	None	None
4-ALLYL-2,6-DIMETHOXYPHENOL	8VF00YWP89	1423781	None	None	None
CORN STARCH (PREGELATINIZED)	O8232NY3SJ	1039062	None	None	None
TROCLOSENE SODIUM	07M9U9U0LK	1482552	None	None	None
MINERAL OIL,HEAVY	T5L8T28FGP	258439	None	None	None
SUS SCROFA BONE	597RLJ09RG	1311274	None	None	None
IMPLANON	304GTH6RNH	194722	None	None	CHEBI_50777
ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE	15K31617MU	1306097	None	None	None
AMANITA MUSCARIA VAR. MUSCARIA	DIF093I037	1310111	None	None	None
LEVANT COTTON OIL	N5CFT140R8	1307951	None	None	None
PHENOXYBENZAMINE HCL	X1IEG24OHL	71512	None	None	None
CRANBERRY PREPARATION	0MVO31Q3QS	125933	None	None	None
TRICHOSPORON CUTANEUM	5EUI19VT92	1426665	None	None	None
NIACINAMIDE	25X51I8RD4	7405	Nicotinamide	DB02701	CHEBI_17154
SPONGIA OFFICINALIS WHOLE	755U7L3M7Z	1311109	None	None	None
DIPROPYLENE GLYCOL CAPRATE/CAPRYLATE DIESTER	R6G12EY23X	1312559	None	None	None
HEXADECADROL	7S5I7G3JQL	3264	None	None	None
