FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
ULEX EUROPAEUS FLOWER EXTRACT	398DBS1PXN	1324594	None	None	None
STEVIOSIDE	0YON5MXJ9P	37106	None	None	None
2,4-HEXADIENOIC ACID, (E,E)-	X045WJ989B	1311139	None	None	None
RED CURRANT ALLERGENIC EXTRACT	Q5YG47WU3D	972480	None	None	None
ALTEPLASE	1RXS4UE564	8410	None	None	None
SISSOMICIN	X55XSL74YQ	9806	None	None	None
METHAMPHETAMINE	44RAL3456C	6816	Methamphetamine	DB01577	None
CETANOL	936JST6JCN	20615	None	None	None
PUMPKIN SEED OIL EXTRACT	GH30P1VXK2	466570	None	None	None
POLYETHYLENE GLYCOL 1000 CETYL ETHER	I835H2IHHX	1311619	None	None	None
PINUS KORAIENSIS SEED OIL	08F703RHY3	1488820	None	None	None
SPINACH	6WO75C6WVB	901317	None	None	None
COAGULATION FACTOR VIIA RECOMBINANT HUMAN	AC71R787OV	1299809	None	None	None
FLUKE, UNSPECIFIED	2A62SXN01X	1370468	None	None	None
CARBOPLATIN	BG3F62OND5	40048	Carboplatin	DB00958	None
N-PHENYLACETAMIDE	SP86R356CC	162	None	None	None
CALCIUM IODIDE	8EKI9QEE2H	235273	None	None	None
SCHOENOCAULON OFFICINALE SEED	6NAF1689IO	1351787	None	None	None
INDORAMIN HYDROCHLORIDE	DQ0Z3K8W92	235773	None	None	None
N-ACETYL-L-GLUTAMINE	01J18G9G97	1426379	None	None	None
CALCIUM ASCORBATE ANHYDROUS	J96U0ZD4Y6	1307765	None	None	None
PSEUDOTSUGA MENZIESII POLLEN	ZEI09763J3	1098257	None	None	None
WESTERN SYCAMORE POLLEN EXTRACT	BWC8DYU8OS	852750	None	None	None
4-AMINOPYRIDINE	BH3B64OKL9	897018	None	None	None
HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN	Z845VHQ61P	798262	None	None	None
METHYLPREDNISOLONE SODIUM SUCCINATE	LEC9GKY20K	203189	None	None	None
DIHEXADECYL PHOSPHATE	2V6E5WN99N	1314346	None	None	None
FUCUS SERRATUS EXTRACT	V8K40WNW5B	1342489	None	None	None
MAGNESIUM OXIDE	3A3U0GI71G	6582	None	None	None
LUFFA ACUTANGULA FRUIT	F0R3Y60C6V	1310287	None	None	None
CHLORPROETHAZINE HCL	520P4U8V2Z	236297	None	None	None
ZINGIBER MONTANUM ROOT	3NG517NPD8	1305630	None	None	None
N6-FURFURYLADENINE	P39Y9652YJ	16054	None	None	None
IODINE,I-125	GVO776611R	253341	None	None	None
BENZINDAMINE	4O21U048EF	1425	None	None	None
PHYSOSTIGMINE SULFATE	G63V2J2N71	106047	None	None	None
CITRIC ACID	2968PHW8QP	21183	None	None	None
EQUUS CABALLUS LEG CALLOUS	UBU30C5WXC	1488227	None	None	None
PIPERAZINE PHOSPHATE	8TIF7T48FP	54749	None	None	None
AMOPROXAN	27RL57FCYM	1440271	None	None	None
COLCOTHAR	1K09F3G675	1310572	None	None	None
GREATER GALANGAL	7Y64R856MB	1372251	None	None	None
MECYSTEINE	RQ6L463N3B	29426	None	None	None
ERIOBOTRYA JAPONICA LEAF	Z02066SV11	1310088	None	None	None
MAGNOLIA KOBUS BARK EXTRACT	54LVP49595	1312377	None	None	None
GARDEN LADY'S MANTLE EXTRACT	9M289NKI69	1314299	None	None	None
4-D-HYDROXYSPHINGANINE	GIN46U9Q2Q	1363444	None	None	None
BETA VULGARIS POLLEN	W7NU4B5CIY	852132	None	None	None
CAMYLOFIN HCL	MO02H82C7M	236175	None	None	None
METHYL METHACRYLATE	196OC77688	29897	None	None	None
TENEX	PML56A160O	71556	None	None	None
AMANITA MUSCARIA VAR. MUSCARIA FRUITING BODY	DIF093I037	1310111	None	None	None
MACLURA POMIFERA POLLEN	18JOK51CZH	1098189	None	None	None
CESTRUM LATIFOLIUM LEAF	O2618B6E88	1376087	None	None	None
KORLYM	320T6RNW1F	1245263	None	None	None
THIPHENAMIL	GX4D5197DT	38150	None	None	None
EPRAZINONE HCL	394X1L8I9Y	236310	None	None	None
GUM TALHA EXTRACT	H18F76G097	1370785	None	None	None
INSULIN,ASPART PROTAMINE	D933668QVX	352385	None	None	None
EPTACOG ALFA ACTIVATED	AC71R787OV	253149	None	None	None
GINKGO BILOBA LEAF EXTRACT	19FUJ2C58T	259265	None	None	None
MAGNESIUM PHOSPHATE	453COF7817	29164	None	None	None
3-HEXENYL ACETATE, (3Z)-	6INA6GC5I6	1426376	None	None	None
SYNTHETIC WAX (1800 MW)	248P1AUJ90	1426675	None	None	None
STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE ANTIGEN	DL82PE6ANE	854974	None	None	None
PSEUDOEPHEDRINE TANNATE	82W1IJ29AT	221151	None	None	None
PHYLLOSTACHYS NIGRA SAP	6Q89V97NS3	1430251	None	None	None
PPG-20 METHYL GLUCOSE ETHER DISTEARATE	0057334FAB	1373204	None	None	None
LINCOMYCIN	BOD072YW0F	6398	None	None	None
MYCOPHENOLATE SODIUM	WX877SQI1G	408142	None	None	None
ALTHAEA OFFICINALIS ROOT EXTRACT	TRW2FUF47H	1306165	None	None	None
UREA	8W8T17847W	11002	Urea	DB03904	None
PHYLLOQUINONE	A034SE7857	8308	None	None	None
SALICIN	4649620TBZ	36100	None	None	None
HARMOGEN	SVI38UY019	218863	None	None	None
SENNA ALATA LEAF	4BXR6YZN92	1307824	None	None	None
BOS TAURUS HIPPOCAMPUS	4UQ8473K2W	1310260	None	None	None
