concept_id|concept_code
35104316|10053589
35104317|10020022
35104318|10037682
35104319|10049191
35104320|10041509
35104321|10052483
35104322|10001660
35104323|10024288
35104324|10053180
35104325|10061220
35104326|10062489
35104327|10064987
35104328|10067117
35104329|10067431
35104330|10058671
35104331|10052368
35104332|10059239
35104333|10056450
35104334|10028958
35104335|10067399
35104336|10000830
35104337|10060930
35104338|10053747
35104339|10000846
35104340|10000847
35104341|10063620
35104342|10003890
35104343|10003917
35104344|10067184
35104345|10026945
35104346|10042987
35104347|10000860
35104348|10057194
35104349|10000871
35104350|10000872
35104351|10000880
35104352|10000881
35104353|10059034
35104354|10000890
35104355|10001019
35104356|10015246
35104357|10015281
35104358|10008943
35104359|10061042
35104360|10023791
35104361|10028811
35104362|10042970
35104363|10042985
35104364|10008958
35104365|10008959
35104366|10008961
35104367|10008962
35104368|10008963
35104369|10008964
35104370|10008965
35104371|10008966
35104372|10008967
35104373|10058717
35104374|10019053
35104375|10036888
35104376|10063092
35104377|10065854
35104378|10009013
35104379|10009014
35104380|10068232
35104381|10023249
35104382|10025270
35104383|10025300
35104384|10050282
35104385|10008583
35104386|10008584
35104387|10014958
35104388|10024293
35104389|10024299
35104390|10024305
35104391|10061295
35104392|10028549
35104393|10061301
35104394|10068532
35104395|10009018
35104396|10009019
35104397|10028533
35104398|10067387
35104399|10028535
35104400|10038269
35104401|10038270
35104402|10038272
35104403|10067959
35104404|10067960
35104405|10020206
35104406|10020266
35104407|10020267
35104408|10020268
35104409|10020269
35104410|10020270
35104411|10061597
35104412|10020271
35104413|10020208
35104414|10020209
35104415|10020210
35104416|10020211
35104417|10020212
35104418|10020213
35104419|10020215
35104420|10020216
35104421|10020217
35104422|10020218
35104423|10020219
35104424|10020220
35104425|10020221
35104426|10020222
35104427|10020223
35104428|10020224
35104429|10020225
35104430|10020227
35104431|10020228
35104432|10020229
35104433|10020230
35104434|10020231
35104435|10020233
35104436|10020234
35104437|10020235
35104438|10020236
35104439|10020237
35104440|10020238
35104441|10020239
35104442|10020240
35104443|10020241
35104444|10020242
35104445|10020245
35104446|10020246
35104447|10020247
35104448|10020248
35104449|10020249
35104450|10020250
35104451|10020251
35104452|10020252
35104453|10020253
35104454|10020254
35104455|10025635
35104456|10025636
35104457|10007953
35104458|10054951
35104459|10055112
35104460|10052178
35104461|10025310
35104462|10025312
35104463|10064344
35104464|10061240
35104465|10003899
35104466|10003902
35104467|10003903
35104468|10003904
35104469|10003905
35104470|10003906
35104471|10003907
35104472|10051708
35104473|10065857
35104474|10003908
35104475|10003911
35104476|10003912
35104477|10003913
35104478|10003914
35104479|10003915
35104480|10003916
35104481|10003922
35104482|10003923
35104483|10006595
35104484|10006598
35104485|10006599
35104486|10006600
35104487|10006601
35104488|10006602
35104489|10006603
35104490|10012818
35104491|10012821
35104492|10012822
35104493|10012823
35104494|10012824
35104495|10012825
35104496|10012826
35104497|10061850
35104498|10015823
35104499|10015824
35104500|10015825
35104501|10015826
35104502|10015827
35104503|10015828
35104504|10061957
35104505|10016897
35104506|10016898
35104507|10016899
35104508|10016900
35104509|10016901
35104510|10016902
35104511|10061170
35104512|10016905
35104513|10016906
35104514|10016907
35104515|10016908
35104516|10016909
35104517|10016910
35104518|10020067
35104519|10020070
35104520|10020071
35104521|10020072
35104522|10020073
35104523|10020074
35104524|10020075
35104525|10025342
35104526|10025345
35104527|10025346
35104528|10025347
35104529|10025348
35104530|10025349
35104531|10025350
35104532|10061275
35104533|10026800
35104534|10026801
35104535|10026802
35104536|10026803
35104537|10026804
35104538|10026805
35104539|10029460
35104540|10029463
35104541|10029464
35104542|10029465
35104543|10029466
35104544|10029467
35104545|10029468
35104546|10036523
35104547|10060910
35104548|10060911
35104549|10036532
35104550|10036533
35104551|10036534
35104552|10036535
35104553|10036710
35104554|10036713
35104555|10036714
35104556|10036715
35104557|10036716
35104558|10036717
35104559|10036718
35104560|10062113
35104561|10041652
35104562|10041653
35104563|10041654
35104564|10041655
35104565|10041656
35104566|10041657
35104567|10047801
35104568|10047804
35104569|10047805
35104570|10047806
35104571|10047807
35104572|10047808
35104573|10047809
35104574|10001413
35104575|10001416
35104576|10001417
35104577|10001418
35104578|10001419
35104579|10001420
35104580|10001421
35104581|10065855
35104582|10066957
35104583|10002227
35104584|10002229
35104585|10002230
35104586|10002231
35104587|10002232
35104588|10002233
35104589|10002234
35104590|10042971
35104591|10042979
35104592|10042980
35104593|10042981
35104594|10042982
35104595|10042983
35104596|10042984
35104597|10002411
35104598|10002414
35104599|10002415
35104600|10002416
35104601|10002417
35104602|10002418
35104603|10002419
35104604|10002449
35104605|10002452
35104606|10002453
35104607|10002454
35104608|10002455
35104609|10002456
35104610|10002457
35104611|10022703
35104612|10022706
35104613|10022707
35104614|10022708
35104615|10022709
35104616|10022710
35104617|10022711
35104618|10028483
35104619|10028501
35104620|10028502
35104621|10028503
35104622|10028504
35104623|10028505
35104624|10028506
35104625|10034623
35104626|10034625
35104627|10034626
35104628|10034627
35104629|10034628
35104630|10034629
35104631|10034630
35104632|10058975
35104633|10036543
35104634|10036546
35104635|10036547
35104636|10036548
35104637|10036549
35104638|10036550
35104639|10036551
35104640|10042989
35104641|10042990
35104642|10024325
35104643|10029547
35104644|10029600
35104645|10029601
35104646|10029602
35104647|10029603
35104648|10029604
35104649|10029605
35104650|10065039
35104651|10061871
35104652|10053574
35104653|10063908
35104654|10029609
35104655|10029610
35104656|10029611
35104657|10029612
35104658|10029613
35104659|10029614
35104660|10065856
35104661|10029622
35104662|10029623
35104663|10029624
35104664|10029625
35104665|10024318
35104666|10024319
35104667|10028228
35104668|10051381
35104669|10035484
35104670|10061964
35104671|10019350
35104672|10020631
35104673|10024459
35104674|10061333
35104675|10058896
35104676|10050661
35104677|10066294
35104678|10035531
35104679|10035532
35104680|10059440
35104681|10068788
35104682|10043529
35104683|10043549
35104684|10050245
35104685|10069098
35104686|10049058
35104687|10058423
35104688|10062506
35104689|10021245
35104690|10035540
35104691|10043554
35104692|10043557
35104693|10043561
35104694|10043648
35104695|10047992
35104696|10016209
35104697|10035004
35104698|10036051
35104699|10042217
35104700|10049522
35104701|10002536
35104702|10014489
35104703|10049466
35104704|10015287
35104705|10049467
35104706|10019372
35104707|10050808
35104708|10050789
35104709|10025382
35104710|10027540
35104711|10029825
35104712|10035774
35104713|10036040
35104714|10037507
35104715|10061548
35104716|10049190
35104717|10056210
35104718|10038795
35104719|10038796
35104720|10039238
35104721|10019847
35104722|10019848
35104723|10051223
35104724|10003755
35104725|10065037
35104726|10055010
35104727|10010535
35104728|10058949
35104729|10016675
35104730|10020094
35104731|10059359
35104732|10065475
35104733|10057665
35104734|10050823
35104735|10050167
35104736|10056284
35104737|10025180
35104738|10025182
35104739|10025183
35104740|10025188
35104741|10065224
35104742|10065208
35104743|10065210
35104744|10065209
35104745|10051928
35104746|10025197
35104747|10025201
35104748|10025205
35104749|10025210
35104750|10025213
35104751|10054722
35104752|10049459
35104753|10025219
35104754|10061231
35104755|10025223
35104756|10053132
35104757|10025226
35104758|10052314
35104759|10025228
35104760|10052315
35104761|10056466
35104762|10048642
35104763|10025282
35104764|10025297
35104765|10051808
35104766|10050979
35104767|10059240
35104768|10027459
35104769|10058540
35104770|10033969
35104771|10049025
35104772|10036390
35104773|10059668
35104774|10067015
35104775|10044846
35104776|10044965
35104777|10051929
35104778|10038799
35104779|10038802
35104780|10068059
35104781|10053622
35104782|10068792
35104783|10020769
35104784|10049282
35104785|10051682
35104786|10050294
35104787|10041633
35104788|10062350
35104789|10041640
35104790|10041643
35104791|10068608
35104792|10051725
35104793|10068677
35104794|10064249
35104795|10041647
35104796|10041648
35104797|10062112
35104798|10065195
35104799|10065194
35104800|10065193
35104801|10065196
35104802|10041649
35104803|10054829
35104804|10055047
35104805|10068851
35104806|10041658
35104807|10067823
35104808|10068662
35104809|10068122
35104810|10041659
35104811|10058339
35104812|10041660
35104813|10050357
35104814|10053687
35104815|10004411
35104816|10048801
35104817|10056296
35104818|10043676
35104819|10061381
35104820|10065588
35104821|10052645
35104822|10048594
35104823|10048637
35104824|10006474
35104825|10058919
35104826|10014950
35104827|10014952
35104828|10065563
35104829|10053776
35104830|10057271
35104831|10056246
35104832|10014954
35104833|10014961
35104834|10064212
35104835|10014962
35104836|10052832
35104837|10052833
35104838|10052834
35104839|10049172
35104840|10068957
35104841|10017902
35104842|10066837
35104843|10064668
35104844|10048643
35104845|10024794
35104846|10027234
35104847|10037382
35104848|10065258
35104849|10000748
35104850|10004173
35104851|10011834
35104852|10018690
35104853|10021914
35104854|10063628
35104855|10024328
35104856|10024378
35104857|10049258
35104858|10062049
35104859|10025280
35104860|10027906
35104861|10027924
35104862|10051809
35104863|10029379
35104864|10035485
35104865|10058008
35104866|10014877
35104867|10014940
35104868|10024384
35104869|10050504
35104870|10025279
35104871|10025327
35104872|10027905
35104873|10067354
35104874|10001507
35104875|10055128
35104876|10053176
35104877|10016288
35104878|10016386
35104879|10018687
35104880|10018688
35104881|10051645
35104882|10052210
35104883|10029354
35104884|10029358
35104885|10062959
35104886|10059482
35104887|10049151
35104888|10053775
35104889|10008415
35104890|10008906
35104891|10061086
35104892|10053430
35104893|10058216
35104894|10061314
35104895|10062081
35104896|10050825
35104897|10061414
35122548|10002043
35122549|10002044
35122550|10002281
35122551|10002282
35122552|10016881
35122553|10016882
35122554|10016888
35122555|10016889
35122556|10025379
35122557|10027127
35122558|10054464
35122559|10055214
35122560|10002041
35122561|10002280
35122562|10002303
35122563|10002304
35122564|10002305
35122565|10002306
35122566|10002313
35122567|10002314
35122568|10055723
35122569|10055724
35122570|10066468
35122571|10066469
35122572|10002040
35122573|10002080
35122574|10002277
35122575|10002279
35122576|10003960
35122577|10033051
35122578|10033052
35122579|10054315
35122580|10055715
35122581|10055725
35122582|10002081
35122583|10002278
35122584|10002310
35122585|10037672
35122586|10054316
35122587|10055714
35122588|10055721
35122589|10055740
35122590|10002039
35122591|10002276
35122592|10012129
35122593|10031882
35122594|10031883
35122595|10045728
35122596|10045729
35122597|10054368
35122598|10061101
35122599|10067523
35122600|10067563
35122601|10002062
35122602|10002295
35122603|10022969
35122604|10022972
35122605|10022973
35122606|10022974
35122607|10022975
35122608|10022976
35122609|10022977
35122610|10022978
35122611|10032789
35122612|10053783
35122613|10053784
35122614|10055736
35122615|10055737
35122616|10055738
35122617|10064647
35122618|10064648
35122619|10066573
35122620|10066763
35122621|10001129
35122622|10001131
35122623|10001132
35122624|10001134
35122625|10002075
35122626|10002308
35122627|10034695
35122628|10034696
35122629|10034697
35122630|10055192
35122631|10055711
35122632|10055712
35122633|10055713
35122634|10062829
35122635|10037006
35122636|10037028
35122637|10037029
35122638|10054583
35122639|10039348
35122640|10042272
35122641|10042273
35122642|10063713
35122643|10063724
35122644|10002034
35122645|10002036
35122646|10002071
35122647|10002072
35122648|10002082
35122649|10002087
35122650|10002088
35122651|10002272
35122652|10002315
35122653|10031524
35122654|10031525
35122655|10032504
35122656|10032506
35122657|10039812
35122658|10045627
35122659|10054309
35122660|10054606
35122661|10055742
35122662|10060559
35122663|10064468
35122664|10064469
35122665|10066545
35122666|10066761
35122667|10002064
35122668|10002297
35122669|10025380
35122670|10025381
35122671|10002065
35122672|10002298
35122673|10027128
35122674|10027129
35122675|10027130
35122676|10032807
35122677|10032808
35122678|10054523
35122679|10002068
35122680|10002074
35122681|10002300
35122682|10002307
35122683|10048861
35122684|10054312
35122685|10051899
35122686|10060560
35122687|10003963
35122688|10003965
35122689|10005644
35122690|10054331
35122691|10010329
35122692|10010336
35122693|10050731
35122694|10010538
35122695|10068819
35122696|10001015
35122697|10001016
35122698|10052293
35122699|10052294
35122700|10057220
35122701|10057221
35122702|10019902
35122703|10055210
35122704|10002059
35122705|10002292
35122706|10020605
35122707|10054406
35122708|10002060
35122709|10002083
35122710|10002293
35122711|10020969
35122712|10020971
35122713|10020972
35122714|10055199
35122715|10055212
35122716|10002063
35122717|10002296
35122718|10024281
35122719|10053199
35122720|10054446
35122721|10021719
35122722|10025487
35122723|10025488
35122724|10025489
35122725|10025490
35122726|10025491
35122727|10025492
35122728|10025493
35122729|10025495
35122730|10025496
35122731|10025497
35122732|10027767
35122733|10032224
35122734|10032380
35122735|10033117
35122736|10033340
35122737|10033341
35122738|10033342
35122739|10035501
35122740|10035502
35122741|10035503
35122742|10037729
35122743|10043288
35122744|10047664
35122745|10047665
35122746|10054147
35122747|10066630
35122748|10067345
35122749|10002066
35122750|10002299
35122751|10027536
35122752|10027538
35122753|10027539
35122754|10002069
35122755|10002070
35122756|10002301
35122757|10002302
35122758|10029782
35122759|10029783
35122760|10029784
35122761|10029785
35122762|10054484
35122763|10054485
35122764|10004984
35122765|10016171
35122766|10016172
35122767|10033339
35122768|10035500
35122769|10000574
35122770|10002035
35122771|10002078
35122772|10002273
35122773|10002312
35122774|10040661
35122775|10040662
35122776|10040663
35122777|10060552
35122778|10044697
35122779|10002073
35122780|10020970
35122781|10054310
35122782|10055211
35122783|10049105
35122784|10054311
35122785|10064013
35122786|10064014
35122787|10009120
35122788|10054353
35122789|10058116
35122790|10058123
35122791|10058124
35122792|10058132
35122793|10059363
35122794|10059366
35122795|10063429
35122796|10002965
35122797|10002966
35122798|10038184
35122799|10049465
35122800|10001662
35122801|10002037
35122802|10002038
35122803|10002274
35122804|10002275
35122805|10002967
35122806|10002968
35122807|10002969
35122808|10002970
35122809|10010776
35122810|10010777
35122811|10032510
35122812|10032511
35122813|10036699
35122814|10049494
35122815|10054329
35122816|10054580
35122817|10068061
35122818|10068063
35122819|10058956
35122820|10002962
35122821|10002971
35122822|10005980
35122823|10005986
35122824|10005987
35122825|10012381
35122826|10018860
35122827|10018861
35122828|10018863
35122829|10018961
35122830|10018962
35122831|10018963
35122832|10019444
35122833|10019445
35122834|10019447
35122835|10020954
35122836|10021069
35122837|10021072
35122838|10021077
35122839|10026846
35122840|10026848
35122841|10026853
35122842|10028584
35122843|10028585
35122844|10033672
35122845|10048580
35122846|10060471
35122847|10060601
35122848|10060633
35122849|10060634
35122850|10060635
35122851|10065553
35122852|10051779
35122853|10016218
35122854|10053138
35122855|10054361
35122856|10055206
35122857|10062988
35122858|10062989
35122859|10062759
35122860|10059589
35122861|10003110
35122862|10015271
35122863|10015279
35122864|10026940
35122865|10053213
35122866|10053223
35122867|10050443
35122868|10002061
35122869|10002294
35122870|10021074
35122871|10021075
35122872|10003111
35122873|10026854
35122874|10026941
35122875|10026942
35122876|10028560
35122877|10047350
35122878|10033661
35122879|10039871
35122880|10048432
35122881|10057279
35122882|10057280
35122883|10060470
35122884|10066274
35122885|10050026
35122886|10062941
35122887|10026943
35122888|10035537
35122889|10068043
35122890|10067940
35122891|10014079
35122892|10014080
35122893|10014082
35122894|10037854
35122895|10041730
35122896|10068549
35122897|10005134
35122898|10062713
35122899|10062720
35122900|10066486
35122901|10019008
35122902|10019601
35122903|10018967
35122904|10019002
35122905|10019009
35122906|10019010
35122907|10019602
35122908|10027544
35122909|10027545
35122910|10032746
35122911|10032755
35122912|10037553
35122913|10037554
35122914|10045897
35122915|10045907
35122916|10055261
35122917|10055276
35122918|10055279
35122919|10021688
35122920|10041729
35122921|10021749
35122922|10034752
35122923|10034754
35122924|10034756
35122925|10037882
35122926|10066445
35122927|10067298
35122928|10065304
35122929|10065310
35122930|10003454
35122931|10039768
35122932|10047623
35122933|10000531
35122934|10054288
35122935|10053745
35122936|10053760
35122937|10053761
35122938|10056496
35122939|10068370
35122940|10002832
35122941|10000534
35122942|10067787
35122943|10001453
35122944|10012130
35122945|10016075
35122946|10052651
35122947|10066356
35122948|10066357
35122949|10016076
35122950|10037045
35122951|10052473
35122952|10008793
35122953|10010467
35122954|10016077
35122955|10018939
35122956|10060614
35122957|10048930
35122958|10016079
35122959|10010468
35122960|10016080
35122961|10018937
35122962|10018938
35122963|10060612
35122964|10060613
35122965|10052474
35122966|10010469
35122967|10016082
35122968|10018940
35122969|10060615
35122970|10051806
35122971|10016083
35122972|10010432
35122973|10018941
35122974|10061992
35122975|10066439
35122976|10053751
35122977|10056492
35122978|10053753
35122979|10056493
35122980|10053752
35122981|10056494
35122982|10053754
35122983|10056495
35122984|10015582
35122985|10021085
35122986|10054431
35122987|10060591
35122988|10066839
35122989|10066841
35122990|10051298
35122991|10051292
35122992|10016081
35122993|10047715
35122994|10055168
35122995|10055174
35122996|10055175
35122997|10055176
35122998|10055177
35122999|10055178
35123000|10055179
35123001|10049862
35123002|10051122
35123003|10054289
35123004|10056867
35123005|10001971
35123006|10001972
35123007|10001973
35123008|10001974
35123009|10001975
35123010|10001976
35123011|10001977
35123012|10014527
35123013|10067010
35123014|10002817
35123015|10064610
35123016|10009732
35123017|10009733
35123018|10032999
35123019|10065442
35123020|10009677
35123021|10009727
35123022|10009729
35123023|10009730
35123024|10009731
35123025|10009734
35123026|10009802
35123027|10012116
35123028|10013206
35123029|10031538
35123030|10036412
35123031|10036413
35123032|10036414
35123033|10036415
35123034|10048498
35123035|10064732
35123036|10066515
35123037|10063563
35123038|10051123
35123039|10054362
35123040|10060906
35123041|10010785
35123042|10010786
35123043|10012126
35123044|10012769
35123045|10013429
35123046|10013441
35123047|10013442
35123048|10042942
35123049|10067048
35123050|10067052
35123051|10013443
35123052|10065003
35123053|10051778
35123054|10050688
35123055|10056869
35123056|10058279
35123057|10060347
35123058|10060348
35123059|10056335
35123060|10048619
35123061|10059608
35123062|10059598
35123063|10020608
35123064|10051124
35123065|10054407
35123066|10057396
35123067|10058516
35123068|10058519
35123069|10067919
35123070|10067920
35123071|10016612
35123072|10020973
35123073|10020978
35123074|10051125
35123075|10058517
35123076|10058518
35123077|10058520
35123078|10060497
35123079|10037556
35123080|10043645
35123081|10043646
35123082|10001716
35123083|10001735
35123084|10002214
35123085|10002215
35123086|10002217
35123087|10019615
35123088|10019616
35123089|10019617
35123090|10037551
35123091|10037552
35123092|10037565
35123093|10039658
35123094|10047121
35123095|10052589
35123096|10001693
35123097|10001710
35123098|10001736
35123099|10020752
35123100|10020753
35123101|10020764
35123102|10024278
35123103|10024377
35123104|10024778
35123105|10032758
35123106|10047118
35123107|10047126
35123108|10048820
35123109|10062472
35123110|10052316
35123111|10012466
35123112|10012467
35123113|10018931
35123114|10018996
35123115|10021243
35123116|10037549
35123117|10037559
35123118|10037566
35123119|10037859
35123120|10037860
35123121|10037886
35123122|10037887
35123123|10051289
35123124|10055272
35123125|10060610
35123126|10037557
35123127|10032327
35123128|10037558
35123129|10057739
35123130|10037560
35123131|10052590
35123132|10034228
35123133|10037564
35123134|10047097
35123135|10005493
35123136|10005495
35123137|10005496
35123138|10013119
35123139|10013120
35123140|10013192
35123141|10013227
35123142|10013895
35123143|10018850
35123144|10019426
35123145|10019427
35123146|10031902
35123147|10032623
35123148|10032905
35123149|10032906
35123150|10045763
35123151|10045895
35123152|10045901
35123153|10061590
35123154|10050910
35123155|10061729
35123156|10066816
35123157|10064851
35123158|10064856
35123159|10058822
35123160|10051763
35123161|10055397
35123162|10064269
35123163|10064277
35123164|10066915
35123165|10048396
35123166|10007246
35123167|10054341
35123168|10010543
35123169|10052829
35123170|10052830
35123171|10053205
35123172|10054363
35123173|10054474
35123174|10054704
35123175|10062832
35123176|10062714
35123177|10062721
35123178|10056474
35123179|10015820
35123180|10063827
35123181|10063828
35123182|10050545
35123183|10050736
35123184|10058003
35123185|10061188
35123186|10061196
35123187|10018873
35123188|10019479
35123189|10059484
35123190|10059489
35123191|10017664
35123192|10020630
35123193|10036041
35123194|10036042
35123195|10050714
35123196|10054408
35123197|10054475
35123198|10059996
35123199|10020633
35123200|10020634
35123201|10051151
35123202|10020974
35123203|10054426
35123204|10020990
35123205|10058002
35123206|10024404
35123207|10026891
35123208|10056307
35123209|10054978
35123210|10054989
35123211|10051662
35123212|10000570
35123213|10027496
35123214|10027497
35123215|10027506
35123216|10054290
35123217|10027498
35123218|10027507
35123219|10053869
35123220|10053915
35123221|10035146
35123222|10035147
35123223|10058328
35123224|10068179
35123225|10068183
35123226|10042480
35123227|10042481
35123228|10042490
35123229|10054653
35123230|10055636
35123231|10042949
35123232|10056452
35123233|10056453
35123234|10032998
35123235|10044359
35123236|10044360
35123237|10004281
35123238|10004346
35123239|10060997
35123240|10049053
35123241|10059425
35123242|10049557
35123243|10060572
35123244|10049556
35123245|10062386
35123246|10068123
35123247|10068127
35123248|10066476
35123249|10066481
35123250|10018864
35123251|10029012
35123252|10029028
35123253|10029054
35123254|10029068
35123255|10061187
35123256|10061195
35123257|10051933
35123258|10062044
35123259|10025638
35123260|10025639
35123261|10025640
35123262|10025641
35123263|10025642
35123264|10025643
35123265|10025644
35123266|10025645
35123267|10025646
35123268|10025647
35123269|10025648
35123270|10026708
35123271|10026474
35123272|10026702
35123273|10018862
35123274|10019446
35123275|10020721
35123276|10020724
35123277|10026850
35123278|10026851
35123279|10026852
35123280|10033673
35123281|10004282
35123282|10020349
35123283|10020350
35123284|10025313
35123285|10025314
35123286|10025317
35123287|10025318
35123288|10025326
35123289|10025365
35123290|10037108
35123291|10037127
35123292|10037952
35123293|10066171
35123294|10051887
35123295|10053190
35123296|10051169
35123297|10060801
35123298|10068785
35123299|10020117
35123300|10048595
35123301|10049697
35123302|10053867
35123303|10057479
35123304|10057566
35123305|10058125
35123306|10058139
35123307|10060611
35123308|10060645
35123309|10014956
35123310|10020119
35123311|10023688
35123312|10024265
35123313|10024266
35123314|10024267
35123315|10024268
35123316|10024269
35123317|10024270
35123318|10024271
35123319|10024272
35123320|10024273
35123321|10024274
35123322|10053133
35123323|10053135
35123324|10049646
35123325|10025581
35123326|10025582
35123327|10025583
35123328|10025584
35123329|10025585
35123330|10025586
35123331|10025587
35123332|10025588
35123333|10025589
35123334|10025597
35123335|10069097
35123336|10063397
35123337|10063591
35123338|10050251
35123339|10066040
35123340|10051358
35123341|10068349
35123342|10069070
35123343|10069071
35123344|10069082
35123345|10025351
35123346|10032127
35123347|10032129
35123348|10061232
35123349|10025352
35123350|10032128
35123351|10061233
35123352|10068348
35123353|10068350
35123354|10005089
35123355|10015493
